Factions,Champion,Rarity,Element,Typ,Overall,Campaign,Arena-Off,Arena-Deff,CB (-T6),CB (+T6),IceG,Dragon,Spider,FK,Mino,Force,Magic,Spirit,Void
Banner-Lords,Lord Champfort,Legendary,Magic,HP,A,A,A,S,B,B,A,A,A,B,A,B,B,B,A
,Sethallia,Legendary,Magic,Assist,A,B,B,A,S,A,A,A,C,C,A,A,A,C,A
,Black Knight,Legendary,Force,HP,A,C,A,S,B,B,A,A,B,C,A,B,B,B,A
,Lugan the Steadfast,Legendary,Spirit,HP,S,B,SS,SS,S,S,S,S,A,A,S,A,A,A,A
,Septimus,Legendary,Spirit,Attack,A,A,S,A,S,A,A,A,A,C,A,B,S,C,A
,Richtoff the Bold,Legendary,Spirit,Attack,S,A,S,A,A,A,S,S,SS,A,A,A,A,A,A
,Raglin,Legendary,Void,Assist,A,C,A,S,A,A,A,A,B,A,A,A,A,A,S
,Baron,Legendary,Void,Attack,A,A,S,B,B,B,A,A,B,B,A,S,A,B,A
,Hordin,Epic,Magic,Attack,A,B,A,A,B,S,A,A,C,C,A,B,B,A,B
,Oathbound,Epic,Force,Def,A,C,S,S,B,S,B,B,C,S,A,B,B,S,B
,Knight Errant,Epic,Spirit,Attack,A,A,S,B,A,B,A,A,B,B,A,A,B,B,A
,Rowan,Epic,Void,Attack,S,C,S,B,A,A,A,A,C,SS,A,B,B,SS,A
,Azure,Epic,Void,HP,A,C,A,S,B,B,A,A,C,C,A,C,C,C,B
,Warcaster,Epic,Void,Assist,A,B,S,S,B,C,B,B,C,C,A,B,S,C,B
,Crossbowman,Rare,Magic,Attack,C,C,B,C,D,D,C,C,D,C,C,C,C,C,C
,Valerie (+Ch. 1),Rare,Magic,Assist,B,B,B,B,C,C,B,B,C,D,B,B,B,B,B
,Grandmaster,Rare,Magic,HP,B,B,B,B,C,S,B,B,D,B,B,B,B,B,B
,Preserver,Rare,Force,Def,B,B,B,B,D,C,B,B,D,C,B,B,B,B,B
,Courtier,Rare,Force,Attack,B,B,A,A,D,C,B,B,C,B,B,B,B,B,B
,Cataphract,Rare,Spirit,HP,B,B,B,B,D,D,B,B,B,B,B,A,B,C,B
,Conquerer (+Ch. 1),Rare,Spirit,Attack,B,B,A,B,C,C,B,A,D,B,B,B,A,B,B
,Halberdier,Rare,Spirit,Attack,B,B,A,B,C,C,B,A,C,C,A,B,A,C,A
,Chevalier,Rare,Void,Def,B,B,A,A,C,C,B,B,C,B,B,B,A,B,B
High Elves,Elenaril,Legendary,Magic,Attack,A,B,A,C,SS,A,A,A,A,C,A,B,B,C,B
